"id_no","binomial","seasonal"
102664728,"Underwoodisaurus seorsus",1
192177,"Lycodon meridionale",1
42493070,"Furina barnardi",1
176821,"Imantodes phantasma",1
176821,"Imantodes phantasma",1
44928996,"Urocotyledon wolterstorffi",1
29437,"Liolaemus etheridgei",1
29437,"Liolaemus etheridgei",1
13264593,"Polemon gabonensis",1
196643,"Sphenomorphus taylori",1
176795,"Dipsas viguieri",1
56041302,"Vanzosaura rubricauda",1
178254,"Echinosaura apodemus",1
15156375,"Apostolepis gaboi",1
102345892,"Eutropis quadratilobus",1
203548,"Ninia atrata",1
164569,"Microgecko latifi",1
44929463,"Tetradactylus tetradactylus",1
44929463,"Tetradactylus tetradactylus",1
176293,"Bradypodion ventrale",1
176293,"Bradypodion ventrale",1
61461,"Acanthodactylus savignyi",1
102664598,"Phyllurus nepthys",1
21584310,"Myriopholis braccianii",1
21584310,"Myriopholis braccianii",1
174099,"Erythrolamprus problematicus",1
196601,"Emoia concolor",1
123731447,"Sigaloseps deplanchei",1
203328,"Tantilla supracincta",1
203328,"Tantilla supracincta",1
203328,"Tantilla supracincta",1
50950734,"Stenocercus varius",1
101742396,"Cyrtodactylus jelawangensis",1
172962,"Furcifer angeli",1
172962,"Furcifer angeli",1
170374,"Amphibolurus norrisi",1
75607403,"Typhlops proancylops",1
42492692,"Cylindrophis boulengeri",1
109463435,"Ctenotus halysis",1
104718004,"Gekko scientiadventura",1
102349167,"Sphenomorphus senja",1
197478,"Crotalus tzabcan",1
191920,"Liopeltis stoliczkae",1
110212189,"Lygodactylus regulus",1
75318379,"Leiocephalus stictigaster",1
75318379,"Leiocephalus stictigaster",1
178237,"Riama stigmatoral",1
192064,"Lycodon capucinus",1
192064,"Lycodon capucinus",1
44929605,"Ichnotropis bivittata",1
64357,"Lepidophyma radula",1
195314,"Lipinia quadrivittata",1
195314,"Lipinia quadrivittata",1
202870,"Cyrtodactylus lawderanus",1
75087323,"Anolis vanidicus",1
67609915,"Anolis tigrinus",1
203167,"Aristelliger cochranae",1
101949938,"Hemiphyllodactylus bintik",1
194797,"Hemidactylus parvimaculatus",1
194797,"Hemidactylus parvimaculatus",1
194797,"Hemidactylus parvimaculatus",1
194797,"Hemidactylus parvimaculatus",1
194797,"Hemidactylus parvimaculatus",1
194797,"Hemidactylus parvimaculatus",1
176714,"Aipysurus foliosquama",1
176714,"Aipysurus foliosquama",1
64085,"Sceloporus anahuacus",1
83779141,"Varanus zugorum",1
22476091,"Afrotyphlops fornasinii",1
22476091,"Afrotyphlops fornasinii",1
96102546,"Atractus surucucu",1
164600,"Trapelus agilis",1
9020,"Chelonoidis darwini",1
102702052,"Strophurus krisalys",1
61427,"Lycognathophis seychellensis",1
42483515,"Cryptoblepharus furvus",1
42483515,"Cryptoblepharus furvus",1
56077628,"Liolaemus multimaculatus",1
56077628,"Liolaemus multimaculatus",1
56077628,"Liolaemus multimaculatus",1
56077628,"Liolaemus multimaculatus",1
164697,"Iranolacerta brandtii",1
63768,"Dendrophidion vinitor",1
50956519,"Epictia albifrons",1
50956519,"Epictia albifrons",1
64345,"Porthidium yucatanicum",1
135339349,"Trachydactylus spatalurus",1
192154,"Trimeresurus nebularis",1
149328967,"Cyrtodactylus bhupathyi",1
199598,"Acanthocercus adramitanus",1
169865,"Hemiphyllodactylus insularis",1
47755867,"Eremias brenchleyi",1
149352778,"Hemidactylus siva",1
61511,"Hyalosaurus koellikeri",1
203656,"Atropoides indomitus",1
176210,"Caledoniscincus terma",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
183187,"Calamaria suluensis",1
56051928,"Liolaemus cazianiae",1
56051928,"Liolaemus cazianiae",1
43130430,"Philothamnus dorsalis",1
50950770,"Stenocercus doellojuradoi",1
176303,"Calumma gallus",1
202872,"Gekko nicobarensis",1
157294,"Dolichophis jugularis",1
172820,"Uroplatus sikorae",1
172820,"Uroplatus sikorae",1
122899722,"Nannoscincus koniambo",1
44578511,"Cercosaura manicata",1
199724,"Hemidactylus granti",1
44579542,"Holcosus anomalus",1
44579542,"Holcosus anomalus",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
192065,"Gloydius blomhoffii",1
178432,"Altiphylax stoliczkai",1
64209,"Anolis parvicirculatus",1
75168098,"Diploglossus garridoi",1
8005,"Eretmochelys imbricata",1
203039,"Coloptychon rhombifer",1
134886139,"Procellosaurinus erythrocercus",1
75084768,"Anolis paternus",1
199730,"Eumeces indothalensis",1
83778172,"Varanus keithhornei",1
203208,"Corallus caninus",1
44578768,"Riama hyposticta",1
190539,"Pseudalsophis hoodensis",1
178378,"Morethia boulengeri",1
63879,"Pseudelaphe flavirufa",1
172744,"Amphiglossus ornaticeps",1
172744,"Amphiglossus ornaticeps",1
172744,"Amphiglossus ornaticeps",1
172744,"Amphiglossus ornaticeps",1
172744,"Amphiglossus ornaticeps",1
48835941,"Phrynocephalus helioscopus",1
48442971,"Phyllodactylus sentosus",1
191993,"Dendrelaphis haasi",1
191993,"Dendrelaphis haasi",1
66080240,"Sphaerodactylus molei",1
66080240,"Sphaerodactylus molei",1
102673863,"Diplodactylus platyurus",1
176818,"Hydrops martii",1
44577767,"Anolis solitarius",1
56085628,"Liolaemus pictus",1
56085628,"Liolaemus pictus",1
102706227,"Brachyurophis roperi",1
13265597,"Telescopus gezirae",1
44578138,"Anadia blakei",1
164775,"Eryx tataricus",1
15156778,"Apostolepis nelsonjorgei",1
64205,"Anolis naufragus",1
178351,"Tropidurus chromatops",1
177928,"Liolaemus atacamensis",1
22476921,"Letheobia uluguruensis",1
203123,"Anolis townsendi",1
15203013,"Amerotyphlops yonenagae",1
178414,"Stenocercus aculeatus",1
190594,"Arrhyton supernum",1
75605877,"Sphaerodactylus sabanus",1
203650,"Trilepida macrolepis",1
203650,"Trilepida macrolepis",1
178583,"Bachia panoplia",1
15183082,"Thamnodynastes almae",1
178657,"Anolis occultus",1
56154190,"Liolaemus tenuis",1
56154190,"Liolaemus tenuis",1
56154190,"Liolaemus tenuis",1
56154190,"Liolaemus tenuis",1
165909,"Gonocephalus doriae",1
44581069,"Atractus heliobelluomini",1
127957711,"Eublepharis hardwickii",1
124311407,"Hydraethiops laevis",1
50009293,"Pholidoscelis wetmorei",1
12006,"Liolaemus lutzae",1
44580132,"Chironius monticola",1
44580132,"Chironius monticola",1
203050,"Bachia blairi",1
13265644,"Telescopus tripolitanus",1
13265644,"Telescopus tripolitanus",1
192120,"Fowlea flavipunctatus",1
172615,"Calliophis beddomei",1
13483345,"Nactus acutus",1
109477523,"Lerista stictopleura",1
50950385,"Anolis otongae",1
56249539,"Phymaturus indistinctus",1
178192,"Phyllurus ossa",1
176776,"Clelia hussami",1
203156,"Pristidactylus volcanensis",1
60755628,"Adolfus alleni",1
56064240,"Liolaemus lavillai",1
56064240,"Liolaemus lavillai",1
64048,"Phyllodactylus partidus",1
203063,"Ptychoglossus eurylepis",1
102658521,"Scincella victoriana",1
191948,"Lycodon flavozonatus",1
191948,"Lycodon flavozonatus",1
203439,"Atractus imperfectus",1
42686345,"Brookesia confidens",1
172773,"Palleon nasus",1
172773,"Palleon nasus",1
48444254,"Microlophus koepckeorum",1
102348979,"Sphenomorphus murudensis",1
196902,"Kolekanos plumicaudus",1
152010238,"Calamophis ruuddelangi",1
47102720,"Copeoglossum arajara",1
104667767,"Diploderma iadinum",1
75103676,"Anolis websteri",1
75103676,"Anolis websteri",1
109452702,"Cryptoblepharus australis",1
74995389,"Anolis fugitivus",1
63488441,"Amphisbaena darwini",1
83778529,"Varanus rudicollis",1
172543,"Chamaeleo necasi",1
170519,"Chersina angulata",1
178727,"Anolis proboscis",1
178559,"Lygisaurus sesbrauna",1
178423,"Paracontias rothschildi",1
176149,"Nannoscincus manautei",1
172786,"Grandidierina lineata",1
172605,"Plectrurus guentheri",1
203291,"Leptophis cupreus",1
203291,"Leptophis cupreus",1
13264994,"Crotaphopeltis hotamboeia",1
203838,"Hemidactylus ansorgii",1
170385,"Ctenophorus maculosus",1
203810,"Cynisca kigomensis",1
203316,"Tantilla hendersoni",1
120188740,"Mokopirirakau granulatus",1
203589,"Sibon anthracops",1
63814,"Geophis semidoliatus",1
83776720,"Liasis olivaceus",1
521,"Adelphicos daryi",1
169748,"Luperosaurus corfieldi",1
176351,"Atractus bocourti",1
61483,"Chalcides montanus",1
5239,"Conolophus pallidus",1
42483444,"Cryptoblepharus novaeguineae",1
75605838,"Sphaerodactylus randi",1
22566194,"Intellagama lesueurii",1
63870,"Pituophis deppei",1
75605979,"Sphaerodactylus zygaena",1
15182759,"Sordellina punctata",1
149321599,"Rhabdops olivaceus",1
15158415,"Atractus maculatus",1
178503,"Ctenotus gemmula",1
177544,"Dibamus smithi",1
199757,"Dendrelaphis marenae",1
199757,"Dendrelaphis marenae",1
44980108,"Atheris broadleyi",1
18490428,"Hemidactylus greefii",1
164650,"Darevskia brauneri",1
197248,"Calotes nigrilabris",1
90069536,"Pantherophis alleghaniensis",1
75605256,"Pseudothecadactylus cavaticus",1
22476066,"Afrotyphlops elegans",1
99942342,"Dopasia sokolovi",1
169697,"Goggia braacki",1
44580307,"Atractus chthonius",1
109470520,"Egernia richardi",1
48280241,"Euspondylus maculatus",1
89929298,"Gelanesaurus flavogularis",1
193486,"Paracontias kankana",1
203318,"Tantilla lempira",1
191939,"Elaphe davidi",1
191939,"Elaphe davidi",1
191939,"Elaphe davidi",1
177567,"Tachymenis chilensis",1
164647,"Phrynocephalus persicus",1
164647,"Phrynocephalus persicus",1
164647,"Phrynocephalus persicus",1
48280138,"Bachia scolecoides",1
109464185,"Ctenotus quirinus",1
178406,"Atheris hirsuta",1
203431,"Atractus clarki",1
203431,"Atractus clarki",1
29416,"Ebenavia maintimainty",1
29416,"Ebenavia maintimainty",1
61454,"Acanthodactylus beershebensis",1
114014629,"Sphenomorphus cryptotis",1
61432,"Phelsuma astriata",1
42492770,"Acanthophis hawkei",1
177565,"Tropidonophis dahlii",1
196567,"Aspidomorphus muelleri",1
102661861,"Tympanocryptis gigas",1
203067,"Enyalioides heterolepis",1
203067,"Enyalioides heterolepis",1
203067,"Enyalioides heterolepis",1
203067,"Enyalioides heterolepis",1
172828,"Liopholidophis rhadinaea",1
164762,"Muhtarophis barani",1
18519417,"Hemidactylus ophiolepoides",1
2173,"Nilssonia nigricans",1
75605564,"Sphaerodactylus ocoae",1
172834,"Pseudoacontias menamainty",1
172834,"Pseudoacontias menamainty",1
61524,"Phoenicolacerta kulzeri",1
178609,"Ptychoglossus stenolepis",1
64131,"Sceloporus occidentalis",1
64131,"Sceloporus occidentalis",1
64131,"Sceloporus occidentalis",1
64131,"Sceloporus occidentalis",1
64131,"Sceloporus occidentalis",1
64131,"Sceloporus occidentalis",1
44578980,"Enyalioides praestabilis",1
44578980,"Enyalioides praestabilis",1
42482765,"Cyrtodactylus robustus",1
141660663,"Stegonotus iridis",1
141660663,"Stegonotus iridis",1
141660663,"Stegonotus iridis",1
178199,"Typhlops sulcatus",1
172750,"Paracontias minimus",1
44885488,"Congolacerta asukului",1
203602,"Trimetopon barbouri",1
170406,"Japalura tricarinata",1
109477398,"Lerista robusta",1
99943188,"Cnemaspis nigridia",1
200631,"Pristurus gallagheri",1
186095,"Protobothrops xiangchengensis",1
19954,"Scelotes kasneri",1
56152866,"Liolaemus silvanae",1
56152866,"Liolaemus silvanae",1
64022,"Micrurus distans",1
177545,"Phisalixella arctifasciata",1
15181735,"Philodryas agassizii",1
199777,"Rhabdophis adleri",1
102966507,"Carlia quinquecarinata",1
13288870,"Bothrophthalmus lineatus",1
176681,"Phytolopsis punctata",1
83777426,"Varanus bushi",1
193485,"Liophidium pattoni",1
120685561,"Hypoptophis wilsonii",1
109477496,"Lerista simillima",1
178645,"Macropholidus annectens",1
172878,"Brookesia bonsi",1
172878,"Brookesia bonsi",1
50956889,"Bothrops caribbaeus",1
50956889,"Bothrops caribbaeus",1
64064,"Holbrookia lacerata",1
104679625,"Dibamus bogadeki",1
109452223,"Concinnia martini",1
13264935,"Crotaphopeltis braestrupi",1
13264935,"Crotaphopeltis braestrupi",1
203309,"Tantilla alticola",1
203309,"Tantilla alticola",1
178032,"Varanus scalaris",1
178032,"Varanus scalaris",1
163447,"Cuora bourreti",1
176749,"Hydrophis parviceps",1
42485595,"Sphenomorphus oligolepis",1
63850,"Masticophis taeniatus",1
196623,"Emoia tuitarere",1
63853,"Nerodia cyclopion",1
83494956,"Tympanocryptis condaminensis",1
75605401,"Sphaerodactylus darlingtoni",1
75605401,"Sphaerodactylus darlingtoni",1
75169923,"Dipsas trinitatis",1
178648,"Tropidophorus laotus",1
44979760,"Leptotyphlops howelli",1
42492861,"Cryptophis nigrostriatus",1
42492861,"Cryptophis nigrostriatus",1
176672,"Bitia hydroides",1
75084777,"Anolis pigmaequestris",1
178486,"Glaphyromorphus crassicaudus",1
178486,"Glaphyromorphus crassicaudus",1
170420,"Psammophilus dorsalis",1
102874486,"Anilios yirrikalae",1
3463,"Calamaria pfefferi",1
3463,"Calamaria pfefferi",1
109452106,"Concinnia amplus",1
44578813,"Riama simotera",1
48443921,"Phyllopezus maranjonensis",1
172520,"Rieppeleon brevicaudatus",1
56077706,"Liolaemus neuquensis",1
176869,"Nothopsis rugosus",1
141660596,"Stegonotus sutteri",1
22473559,"Afrotyphlops calabresii",1
178466,"Sphenomorphus microtympanum",1
172908,"Amphiglossus splendidus",1
172908,"Amphiglossus splendidus",1
172908,"Amphiglossus splendidus",1
172908,"Amphiglossus splendidus",1
164764,"Eremias nigrocellata",1
115604613,"Tropidophorus sebi",1
42495943,"Pseudonaja nuchalis",1
75607450,"Typhlops sylleptor",1
164759,"Phrynocephalus horvathi",1
42482687,"Cyrtodactylus loriae",1
172736,"Furcifer willsii",1
75318343,"Leiocephalus semilineatus",1
83489178,"Ctenophorus salinarum",1
47102869,"Mabuya hispaniolae",1
172867,"Trachylepis gravenhorstii",1
172867,"Trachylepis gravenhorstii",1
42760615,"Trioceros kinangopensis",1
20878152,"Atractaspis leucomelas",1
157257,"Alsophylax pipiens",1
63802,"Geophis laticollaris",1
199594,"Stenodactylus pulcher",1
96105905,"Gomesophis brasiliensis",1
15158700,"Cercophis auratus",1
167502525,"Apostolepis assimilis",1
13292076,"Myriopholis adleri",1
5663,"Crocodylus moreletii",1
192031,"Stichophanes ningshaanensis",1
192095,"Trimeresurus andalasensis",1
172532,"Rhampholeon platyceps",1
64243,"Mesoscincus schwartzei",1
203825,"Trioceros harennae",1
64102,"Sceloporus exsul",1
104758901,"Cryptoblepharus burdeni",1
102349637,"Tytthoscincus panchorensis",1
197252,"Eutropis madaraszi",1
176357,"Atractus nicefori",1
127902161,"Sitana bahiri",1
203184,"Lepidophyma mayae",1
164726,"Eurylepis taeniolatus",1
164726,"Eurylepis taeniolatus",1
164726,"Eurylepis taeniolatus",1
172879,"Calumma vencesi",1
172879,"Calumma vencesi",1
56156021,"Liolaemus vulcanus",1
56156021,"Liolaemus vulcanus",1
203190,"Anomalepis aspinosus",1
164593,"Spalerosophis diadema",1
164593,"Spalerosophis diadema",1
176720,"Emydocephalus annulatus",1
74995376,"Anolis fowleri",1
120686569,"Pythonodipsas carinata",1
21267125,"Cnemaspis dickersonae",1
176808,"Geophis ruthveni",1
176808,"Geophis ruthveni",1
22528664,"Diporiphora bennettii",1
164766,"Eremias kavirensis",1
42492654,"Tropidonophis truncatus",1
137792387,"Calyptommatus nicterus",1
196655,"Ramphotyphlops acuticaudus",1
63995,"Thamnophis valida",1
63995,"Thamnophis valida",1
44579930,"Stenocercus lache",1
109480297,"Morethia adelaidensis",1
4609,"Chelodina pritchardi",1
17450975,"Agama turuensis",1
50956478,"Epictia columbi",1
44579579,"Holcosus niceforoi",1
191938,"Oligodon formosanus",1
169893,"Oligodon meyerinkii",1
169893,"Oligodon meyerinkii",1
178203,"Leptotyphlops jacobseni",1
56077811,"Liolaemus pantherinus",1
44579760,"Kentropyx vanzoi",1
178552,"Stenocercus torquatus",1
176697,"Erpeton tentaculatum",1
178713,"Arthrosaura synaptolepis",1
178350,"Nephrurus stellatus",1
109480565,"Nangura spinosa",1
203623,"Micrurus ancoralis",1
203623,"Micrurus ancoralis",1
203279,"Chironius exoletus",1
203552,"Ninia pavimentata",1
7821,"Chilabothrus inornatus",1
18519376,"Hemidactylus ophiolepis",1
18519376,"Hemidactylus ophiolepis",1
42484053,"Emoia brongersmai",1
199848,"Coluber insulanus",1
56086434,"Liolaemus porosus",1
56086434,"Liolaemus porosus",1
176621,"Boiga forsteni",1
176621,"Boiga forsteni",1
104683961,"Cnemaspis siamensis",1
191919,"Hebius leucomystax",1
109452611,"Cryptoblepharus aldabrae",1
48889843,"Lycodon orientalis",1
48889843,"Lycodon orientalis",1
48889843,"Lycodon orientalis",1
48889843,"Lycodon orientalis",1
48889843,"Lycodon orientalis",1
48889843,"Lycodon orientalis",1
48889843,"Lycodon orientalis",1
48889843,"Lycodon orientalis",1
48889843,"Lycodon orientalis",1
48889843,"Lycodon orientalis",1
48889843,"Lycodon orientalis",1
